rdfs_label#om_perteneceADistrito
Argentina#Centro
Campus Universitario#Norte
Industrial Las Capellanias#Oeste
Rincon De Ballesteros#Pedanias
Santa Clara#Centro
Reyes Huertas#Centro
Charca Musia#Sur
San Marquino#Centro
San Blas#Centro
San Justo#Centro
San Jorge#Norte
Seminario#Norte
La Madrila#Oeste
Valdesalor#Pedanias
La Zambomba#Centro
Aguas Vivas#Centro
Moctezuma#Centro
Los Fratres#Centro
El Rodeo#Centro
Espiritu Santo#Sur
El Peru#Centro
Las Trescientas#Sur
Poligono Ganadero#Norte
El Vivero#Oeste
Estacion Arroyo Malpartida#Pedanias
Cabezarrubia#Oeste
Recinto Ferial#Sur
San Antonio (Nuevo Caceres)#Sur
Ronda#Norte
Macondo#Oeste
Canovas#Centro
R 66 A (El Arco)#Oeste
Casa Plata#Sur
Residencial Universidad#Norte
Caceres El Viejo#Norte
La Paloma#Sur
Gredos#Norte
Nueva Ciudad#Norte
Vegas Del Mocho#Norte
Vistahermosa#Sur
Maltravieso#Sur
Huertas#Centro
San Francisco#Centro
Los Castellanos#Oeste
El Junquillo#Oeste
La Abundancia#Sur
Mejostilla#Norte
Montesol#Norte
Plaza Mayor#Centro
Margallo#Centro
Llopis Ivorra#Sur
La Sierrilla#Oeste
Cementerio#Norte
Estacion#Oeste
Industrial Mejostilla#Norte
Sierra De San Pedro#Sur
R 66 B (Parque Del Principe)#Oeste
Paseo Alto#Centro
Peña Redonda#Centro
Hernan Cortes#Centro
Casas Baratas#Centro
Ciudad Monumental#Centro
Ribera Del Marco#Centro
Virgen De Guadalupe#Centro
Parque Del Principe#Oeste
Virgen De La Montaña#Centro
Barriada Minera#Sur
Hernandez Pacheco#Centro
Industrial Aldea Moret#Sur
Infanta Isabel#Norte
La Bondad#Centro
Vera Cruz#Sur
Las Candelas#Norte
El Cuartillo#Norte
La Cañada#Sur
Ceres Golf#Sur
San Juan#Centro
Santiago#Centro
